subject	test_kind	status	ref
ai_interviewing	accessibility	gap	-
ai_interviewing	contract	gap	-
ai_interviewing	determinism	gap	-
ai_interviewing	e2e	gap	-
ai_interviewing	integration	gap	-
ai_interviewing	manual-qa-readiness	gap	-
ai_interviewing	mutation	gap	-
ai_interviewing	perf-load	gap	-
ai_interviewing	regression	gap	-
ai_interviewing	security	gap	-
ai_interviewing	stress-chaos	gap	-
ai_interviewing	unit	gap	-
design-toolkit	accessibility	gap	-
design-toolkit	contract	gap	-
design-toolkit	determinism	gap	-
design-toolkit	e2e	gap	-
design-toolkit	integration	gap	-
design-toolkit	manual-qa-readiness	gap	-
design-toolkit	mutation	gap	-
design-toolkit	perf-load	gap	-
design-toolkit	regression	gap	-
design-toolkit	security	gap	-
design-toolkit	stress-chaos	gap	-
design-toolkit	unit	gap	-
milosvasic.ru	accessibility	gap	-
milosvasic.ru	contract	gap	-
milosvasic.ru	determinism	gap	-
milosvasic.ru	e2e	gap	-
milosvasic.ru	integration	gap	-
milosvasic.ru	manual-qa-readiness	gap	-
milosvasic.ru	mutation	gap	-
milosvasic.ru	perf-load	gap	-
milosvasic.ru	regression	gap	-
milosvasic.ru	security	gap	-
milosvasic.ru	stress-chaos	gap	-
milosvasic.ru	unit	gap	-
monetization	accessibility	gap	-
monetization	contract	gap	-
monetization	determinism	gap	-
monetization	e2e	gap	-
monetization	integration	gap	-
monetization	manual-qa-readiness	gap	-
monetization	mutation	gap	-
monetization	perf-load	gap	-
monetization	regression	gap	-
monetization	security	gap	-
monetization	stress-chaos	gap	-
monetization	unit	gap	-
root	accessibility	gap	-
root	contract	gap	-
root	determinism	gap	-
root	e2e	gap	-
root	integration	gap	-
root	manual-qa-readiness	gap	-
root	mutation	check	mutation-anchor-rot
root	perf-load	gap	-
root	regression	gap	-
root	security	check	pretooluse-guard
root	stress-chaos	gap	-
root	unit	check	_tools/gen/go.mod
submodules/LLMProvider	accessibility	gap	-
submodules/LLMProvider	contract	gap	-
submodules/LLMProvider	determinism	gap	-
submodules/LLMProvider	e2e	gap	-
submodules/LLMProvider	integration	gap	-
submodules/LLMProvider	manual-qa-readiness	gap	-
submodules/LLMProvider	mutation	gap	-
submodules/LLMProvider	perf-load	gap	-
submodules/LLMProvider	regression	gap	-
submodules/LLMProvider	security	gap	-
submodules/LLMProvider	stress-chaos	gap	-
submodules/LLMProvider	unit	gap	-
submodules/RAG	accessibility	gap	-
submodules/RAG	contract	gap	-
submodules/RAG	determinism	gap	-
submodules/RAG	e2e	gap	-
submodules/RAG	integration	gap	-
submodules/RAG	manual-qa-readiness	gap	-
submodules/RAG	mutation	gap	-
submodules/RAG	perf-load	gap	-
submodules/RAG	regression	gap	-
submodules/RAG	security	gap	-
submodules/RAG	stress-chaos	gap	-
submodules/RAG	unit	gap	-
submodules/challenges	accessibility	gap	-
submodules/challenges	contract	gap	-
submodules/challenges	determinism	gap	-
submodules/challenges	e2e	gap	-
submodules/challenges	integration	gap	-
submodules/challenges	manual-qa-readiness	gap	-
submodules/challenges	mutation	gap	-
submodules/challenges	perf-load	gap	-
submodules/challenges	regression	gap	-
submodules/challenges	security	gap	-
submodules/challenges	stress-chaos	gap	-
submodules/challenges	unit	gap	-
submodules/containers	accessibility	gap	-
submodules/containers	contract	gap	-
submodules/containers	determinism	gap	-
submodules/containers	e2e	gap	-
submodules/containers	integration	gap	-
submodules/containers	manual-qa-readiness	gap	-
submodules/containers	mutation	gap	-
submodules/containers	perf-load	gap	-
submodules/containers	regression	gap	-
submodules/containers	security	gap	-
submodules/containers	stress-chaos	gap	-
submodules/containers	unit	gap	-
submodules/curriculum-kit	accessibility	gap	-
submodules/curriculum-kit	contract	gap	-
submodules/curriculum-kit	determinism	gap	-
submodules/curriculum-kit	e2e	gap	-
submodules/curriculum-kit	integration	gap	-
submodules/curriculum-kit	manual-qa-readiness	gap	-
submodules/curriculum-kit	mutation	gap	-
submodules/curriculum-kit	perf-load	gap	-
submodules/curriculum-kit	regression	gap	-
submodules/curriculum-kit	security	gap	-
submodules/curriculum-kit	stress-chaos	gap	-
submodules/curriculum-kit	unit	gap	-
submodules/doc_processor	accessibility	gap	-
submodules/doc_processor	contract	gap	-
submodules/doc_processor	determinism	gap	-
submodules/doc_processor	e2e	gap	-
submodules/doc_processor	integration	gap	-
submodules/doc_processor	manual-qa-readiness	gap	-
submodules/doc_processor	mutation	gap	-
submodules/doc_processor	perf-load	gap	-
submodules/doc_processor	regression	gap	-
submodules/doc_processor	security	gap	-
submodules/doc_processor	stress-chaos	gap	-
submodules/doc_processor	unit	gap	-
submodules/llm_orchestrator	accessibility	gap	-
submodules/llm_orchestrator	contract	gap	-
submodules/llm_orchestrator	determinism	gap	-
submodules/llm_orchestrator	e2e	gap	-
submodules/llm_orchestrator	integration	gap	-
submodules/llm_orchestrator	manual-qa-readiness	gap	-
submodules/llm_orchestrator	mutation	gap	-
submodules/llm_orchestrator	perf-load	gap	-
submodules/llm_orchestrator	regression	gap	-
submodules/llm_orchestrator	security	gap	-
submodules/llm_orchestrator	stress-chaos	gap	-
submodules/llm_orchestrator	unit	gap	-
submodules/llm_provider	accessibility	gap	-
submodules/llm_provider	contract	gap	-
submodules/llm_provider	determinism	gap	-
submodules/llm_provider	e2e	gap	-
submodules/llm_provider	integration	gap	-
submodules/llm_provider	manual-qa-readiness	gap	-
submodules/llm_provider	mutation	gap	-
submodules/llm_provider	perf-load	gap	-
submodules/llm_provider	regression	gap	-
submodules/llm_provider	security	gap	-
submodules/llm_provider	stress-chaos	gap	-
submodules/llm_provider	unit	gap	-
submodules/llms_verifier	accessibility	gap	-
submodules/llms_verifier	contract	gap	-
submodules/llms_verifier	determinism	gap	-
submodules/llms_verifier	e2e	gap	-
submodules/llms_verifier	integration	gap	-
submodules/llms_verifier	manual-qa-readiness	gap	-
submodules/llms_verifier	mutation	gap	-
submodules/llms_verifier	perf-load	gap	-
submodules/llms_verifier	regression	gap	-
submodules/llms_verifier	security	gap	-
submodules/llms_verifier	stress-chaos	gap	-
submodules/llms_verifier	unit	gap	-
submodules/passage	accessibility	gap	-
submodules/passage	contract	gap	-
submodules/passage	determinism	gap	-
submodules/passage	e2e	gap	-
submodules/passage	integration	gap	-
submodules/passage	manual-qa-readiness	gap	-
submodules/passage	mutation	gap	-
submodules/passage	perf-load	gap	-
submodules/passage	regression	gap	-
submodules/passage	security	gap	-
submodules/passage	stress-chaos	gap	-
submodules/passage	unit	gap	-
submodules/qa	accessibility	gap	-
submodules/qa	contract	gap	-
submodules/qa	determinism	gap	-
submodules/qa	e2e	gap	-
submodules/qa	integration	gap	-
submodules/qa	manual-qa-readiness	gap	-
submodules/qa	mutation	gap	-
submodules/qa	perf-load	gap	-
submodules/qa	regression	gap	-
submodules/qa	security	gap	-
submodules/qa	stress-chaos	gap	-
submodules/qa	unit	gap	-
submodules/security	accessibility	gap	-
submodules/security	contract	gap	-
submodules/security	determinism	gap	-
submodules/security	e2e	gap	-
submodules/security	integration	gap	-
submodules/security	manual-qa-readiness	gap	-
submodules/security	mutation	gap	-
submodules/security	perf-load	gap	-
submodules/security	regression	gap	-
submodules/security	security	gap	-
submodules/security	stress-chaos	gap	-
submodules/security	unit	gap	-
submodules/verdict	accessibility	gap	-
submodules/verdict	contract	gap	-
submodules/verdict	determinism	gap	-
submodules/verdict	e2e	gap	-
submodules/verdict	integration	gap	-
submodules/verdict	manual-qa-readiness	gap	-
submodules/verdict	mutation	gap	-
submodules/verdict	perf-load	gap	-
submodules/verdict	regression	gap	-
submodules/verdict	security	gap	-
submodules/verdict	stress-chaos	gap	-
submodules/verdict	unit	gap	-
submodules/vision_engine	accessibility	gap	-
submodules/vision_engine	contract	gap	-
submodules/vision_engine	determinism	gap	-
submodules/vision_engine	e2e	gap	-
submodules/vision_engine	integration	gap	-
submodules/vision_engine	manual-qa-readiness	gap	-
submodules/vision_engine	mutation	gap	-
submodules/vision_engine	perf-load	gap	-
